,dates,tickers,mprice,rprice,price_diff,percentage_diff
144,2021-06-25,GHG,11.2,11.405,0.205,1.83
147,2021-06-27,ATBPF,3.02,3.28,0.26,8.609
150,2021-06-27,JEF,32.16,34.253,2.093,6.509
152,2021-06-27,LIVX,4.67,4.81,0.14,2.998
153,2021-06-27,MLHR,46.72,48.69,1.97,4.217
155,2021-06-28,AKTX,1.75,1.76,0.01,0.571
156,2021-06-28,ANCUF,35.68,37.38,1.7,4.765
158,2021-06-28,AVAV,101.92,103.633,1.713,1.681
159,2021-06-28,BNED,7.56,8.32,0.76,10.053
160,2021-06-28,BRCN,2.9,2.987,0.087,2.989
161,2021-06-28,CDMO,24.54,26.81,2.27,9.25
164,2021-06-28,CJREF,5.14,5.36,0.22,4.28
165,2021-06-28,CO,5.42,5.48,0.06,1.107
166,2021-06-28,DTRC,5.0,5.312,0.312,6.25
167,2021-06-28,EPAC,27.01,27.37,0.36,1.333
168,2021-06-28,FDS,339.57,340.127,0.557,0.164
169,2021-06-28,FEIM,9.5,9.887,0.387,4.07
170,2021-06-28,GP,18.976,20.119,1.143,6.022
172,2021-06-28,HITI,7.839,8.036,0.197,2.517
173,2021-06-28,NMRD,10.5,10.697,0.197,1.879
174,2021-06-28,POWW,8.95,9.913,0.963,10.764
175,2021-06-28,TIKK,3.35,3.567,0.217,6.468
176,2021-06-28,TNP,8.45,8.62,0.17,2.012
177,2021-06-28,VTGN,2.84,3.5,0.66,23.239
178,2021-06-29,BASFY,19.84,20.02,0.18,0.907
183,2021-06-29,FC,33.16,38.92,5.76,17.37
190,2021-06-29,NG,8.11,8.63,0.52,6.412
195,2021-06-29,SJR,28.96,29.2,0.24,0.829
197,2021-06-29,TC,3.18,3.24,0.06,1.887
